what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1447478575678
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1447478575678
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1447478575678
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1447478575678
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1447478575678
started,bundle,org.eclipse.wb.core,1.1.0.r36x201109091012,"org.eclipse.wb.core",1447478575678
started,bundle,org.eclipse.wb.core.lib,1.1.0.r36x201109091012,"org.eclipse.wb.core.lib",1447478575678
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r36x201109091028,"org.eclipse.wb.discovery.core",1447478575678
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r36x201109091028,"org.eclipse.wb.discovery.ui",1447478575678
os,sysinfo,,,"win32",1447478575694
arch,sysinfo,,,"x86",1447478575694
ws,sysinfo,,,"win32",1447478575694
locale,sysinfo,,,"zh_CN",1447478575694
processors,sysinfo,,,"2",1447478575694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447478575694
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1447478575694
java.specification.name,sysinfo,,,"Java Platform API Specification",1447478575694
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447478575694
java.specification.version,sysinfo,,,"1.7",1447478575694
java.vendor,sysinfo,,,"Oracle Corporation",1447478575694
java.version,sysinfo,,,"1.7.0_04",1447478575694
java.vm.info,sysinfo,,,"mixed mode, sharing",1447478575694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1447478575694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447478575694
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1447478575694
java.vm.specification.version,sysinfo,,,"1.7",1447478575694
java.vm.vendor,sysinfo,,,"Oracle Corporation",1447478575694
java.vm.version,sysinfo,,,"23.0-b21",1447478575694
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1447478576505
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1447478576505
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1447478576568
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1447478576614
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1447478578471
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1447478578471
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1447478578564
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1447478578564
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1447478578564
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1447478578564
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1447478578580
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1447478578596
started,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1447478579017
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1447478579048
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1447478579048
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1447478579048
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.402.v201009081300,"org.eclipse.jst.j2ee.navigator.ui",1447478579048
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1447478579064
opened,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447478579126
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1447478579173
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1447478579251
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447478586209
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447478798474
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1447478800034
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1447478800050
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447478800924
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1447478800939
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1447478800955
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1447478803843
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1447478804467
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1447478804467
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1447478804529
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1447478804529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478806838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478822109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478823466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478824511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447478824542
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1447478827038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478827319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478828520
error,log,,,"Missing or failed server extension: ServerWorkingCopy Tomcat v7.0 Server at localhost. Enable tracing for more information",1447478828692
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1447478828785
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1447478828848
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.4.1,"org.tigris.subversion.clientadapter.javahl",1447478828895
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.4,"org.tigris.subversion.clientadapter.svnkit",1447478828895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478831047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478884885
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1447478886508
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1447478889425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478893965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478906821
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447478906977
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1447478907429
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1447478907429
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1447478907429
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1447478907429
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1447478907429
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1447478907429
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1447478907429
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1447478907429
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1447478907429
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1447478907429
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1447478907445
