what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1447411059892
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1447411059892
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1447411059893
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1447411059895
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1447411059895
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1447411059895
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1447411059896
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1447411059897
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1447411059898
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1447411059898
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1447411059898
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1447411059898
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r36x201109091028,"org.eclipse.wb.discovery.core",1447411059898
os,sysinfo,,,"win32",1447411059902
arch,sysinfo,,,"x86",1447411059902
ws,sysinfo,,,"win32",1447411059902
locale,sysinfo,,,"zh_CN",1447411059902
processors,sysinfo,,,"2",1447411059902
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447411059902
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1447411059902
java.specification.name,sysinfo,,,"Java Platform API Specification",1447411059902
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447411059902
java.specification.version,sysinfo,,,"1.7",1447411059902
java.vendor,sysinfo,,,"Oracle Corporation",1447411059902
java.version,sysinfo,,,"1.7.0_04",1447411059902
java.vm.info,sysinfo,,,"mixed mode, sharing",1447411059902
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1447411059902
